Company name,Company URL,Location,Founded,Industry,Company size
SABA,https://wuzzuf.net/jobs/careers/SABA-Egypt-32300,"Cairo, Egypt",2002,Telecommunications,51-100 employees
Ejada ,https://wuzzuf.net/jobs/careers/Ejada--Cairo--Egypt-9273,"Cairo, Egypt",2005,Computer and Network Security,Size not provided
Sarmady,https://wuzzuf.net/jobs/careers/Sarmady-57,"Giza, Egypt",2001,Information Technology Services,101-500 employees
Heineken,https://wuzzuf.net/jobs/careers/Heineken-Egypt-94737,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Giza Arabia Systems,https://wuzzuf.net/jobs/careers/Giza Arabia Systems-Egypt-91406,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Union Coop,https://wuzzuf.net/jobs/careers/U-Egypt-36354,"Dubai, United Arab Emirates",Foundation date not provided,Industry not provided,Size not provided
Algoriza,https://wuzzuf.net/jobs/careers/Algoriza-Egypt-58919,"Giza, Egypt",2011,Computer Software,51-100 employees
Azdan Business Analytics,https://wuzzuf.net/jobs/careers/Azdan-Business-Analytics-Egypt-28996,"Cairo, Egypt",2009,Management Consulting,11-50 employees
BI-Technologies,https://wuzzuf.net/jobs/careers/BI-Technologies-Egypt-14526,"Cairo, Egypt",2006,Computer Software,101-500 employees
ICIS,https://wuzzuf.net/jobs/careers/ICIS-Saudi-Arabia-36620,"Cairo, Egypt",2008,Computer Software,11-50 employees
Perfect Presentation,https://wuzzuf.net/jobs/careers/PERFECT-PRESENTAION-Egypt-10124,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Nacita,https://wuzzuf.net/jobs/careers/Nacita-Egypt-22041,"Cairo, Egypt",1944,Automotive,501-1000 employees
Trufla,https://wuzzuf.net/jobs/careers/Trufla-Egypt-17331,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Samcrete Engineers & contractors,https://wuzzuf.net/jobs/careers/Samcrete-Egypt-74991,"Giza, Egypt",1963,Construction - Industrial Facilities and Infrastructure,More than 1000 employees
Osolutions,https://wuzzuf.net/jobs/careers/ask-sev-Egypt-34672,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Victory Link,https://wuzzuf.net/jobs/careers/Victory-Link-Egypt-5033,"Cairo, Egypt",1998,Marketing and Advertising,101-500 employees
Netcompay- Intrasoft,https://wuzzuf.net/jobs/careers/Netcompay- Intrasoft-Jordan-95895,Jordan,Foundation date not provided,Industry not provided,Size not provided
Smart Cards application,https://wuzzuf.net/jobs/careers/smart-cards-application-Egypt-60845,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
CrossWorkers,https://wuzzuf.net/jobs/careers/Cross-Workers-Egypt-3401,"Cairo, Egypt",2012,Information Technology Services,51-100 employees
Sceel.io,https://wuzzuf.net/jobs/careers/sceel-Egypt-73908,"Cairo, Egypt",2018,Computer Software,51-100 employees
CyberX,https://wuzzuf.net/jobs/careers/CyberX-Egypt-95591,Egypt,2019,Information Technology Services,51-100 employees
World Food Program - Other locations,https://wuzzuf.net/jobs/careers/World Food Program - Other locations-Egypt-92536,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Expert Apps,https://wuzzuf.net/jobs/careers/Expert-Apps-Egypt-50784,"Cairo, Egypt",2009,Computer Software,11-50 employees
FinBi Finance & Banking Consultants International,https://wuzzuf.net/jobs/careers/FinBi-Finance--amp--Banking-Consultants-International-Egypt-26845,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Our Education,https://wuzzuf.net/jobs/careers/Our-edu-Egypt-51211,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Bevatel,https://wuzzuf.net/jobs/careers/Bavaya-Egypt-40591,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Aswaq,https://wuzzuf.net/jobs/careers/Aswaq-Egypt-94925,Egypt,Foundation date not provided,Industry not provided,Size not provided
Nahr Development,https://wuzzuf.net/jobs/careers/Nahr-Development-Egypt-20713,"Cairo, Egypt",2007,Information Technology Services,11-50 employees
EGID company,https://wuzzuf.net/jobs/careers/AGTI-company-Egypt-45817,"Cairo, Egypt",1999,Information Technology Services,51-100 employees
Al-Meshka,https://wuzzuf.net/jobs/careers/Almeshka-Egypt-66878,Egypt,Foundation date not provided,Industry not provided,Size not provided
International Advanced ,https://wuzzuf.net/jobs/careers/International-Advanced-Egypt-58336,"Cairo, Egypt",2010,Computer Software,11-50 employees
waffarha.com,https://wuzzuf.net/jobs/careers/waffarha-com-Egypt-3723,Egypt,2012,Marketing and Advertising,Size not provided
TREX,https://wuzzuf.net/jobs/careers/TREX-Egypt-95527,"Cairo, Egypt",Foundation date not provided,Industry not provided,1-10 employees
BSmart,https://wuzzuf.net/jobs/careers/BSmart-Saudi-Arabia-66898,"Cairo, Egypt",2020,Computer Software,Size not provided
Arabian Advanced Systems,https://wuzzuf.net/jobs/careers/Arabian-Advanced-Systems-Egypt-4431,"Cairo, Egypt",1989,Computer Software,101-500 employees
eT3 - Tomorrow Information Technology,https://wuzzuf.net/jobs/careers/eT3---Tomorrow-Information-Technology-Egypt-5525,"Cairo, Egypt",1998,Computer Software,11-50 employees
AK IT Consulting,https://wuzzuf.net/jobs/careers/Erp-Buddy-Egypt-59472,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Nile University,https://wuzzuf.net/jobs/careers/Nile-University-Egypt-30674,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Dexef,https://wuzzuf.net/jobs/careers/Dexef-Egypt-37590,"Monufya, Egypt",2004,Computer Software,51-100 employees
Casita,https://wuzzuf.net/jobs/careers/Casita-Egypt-47449,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Noases,https://wuzzuf.net/jobs/careers/parmagyat-Egypt-93597,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
FinTech Collective,https://wuzzuf.net/jobs/careers/FinTech Collective-Egypt-94697,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Antal International - Egypt,https://wuzzuf.net/jobs/careers/Antal International - Egypt-Egypt-91877,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
CodeCooks,https://wuzzuf.net/jobs/careers/CodeCooks-Egypt-95797,"Cairo, Egypt",2022,Computer Software,Size not provided
Tie House,https://wuzzuf.net/jobs/careers/Tie-House-Egypt-20112,"Cairo, Egypt",1995,Apparel and Fashion,101-500 employees
Edentech,https://wuzzuf.net/jobs/careers/Edentech-Egypt-78060,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
IBM WTC Egypt,https://wuzzuf.net/jobs/careers/IBM WTC Egypt-Egypt-91690,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
IQRA Network,https://wuzzuf.net/jobs/careers/IQRA-Network-United-States-54585,"Boston, United States",2017,Education,11-50 employees
Engosoft,https://wuzzuf.net/jobs/careers/Engosoft-Egypt-57983,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
CRE Venture Capital,https://wuzzuf.net/jobs/careers/CRE Venture Capital-Egypt-94710,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Oracle - Egypt,https://wuzzuf.net/jobs/careers/Oracle - Egypt-Kuwait-91776,"Kuwait City, Kuwait",Foundation date not provided,Industry not provided,Size not provided
Elev8Assessments,https://wuzzuf.net/jobs/careers/Elev8Assessments-Egypt-83482,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Horizon Agency,https://wuzzuf.net/jobs/careers/horizonmediaeg-Egypt-21114,"Cairo, Egypt",2012,Marketing and Advertising,11-50 employees
Carpet Land,https://wuzzuf.net/jobs/careers/Carpet-Land-Egypt-95542,Egypt,Foundation date not provided,Industry not provided,Size not provided
Link Datacenter,https://wuzzuf.net/jobs/careers/Link-Datacenter-Egypt-23208,"Giza, Egypt",1996,Information Technology Services,51-100 employees
GET Group- Egypt,https://wuzzuf.net/jobs/careers/GET-Group--Egypt-Egypt-3132,"Cairo, Egypt",1986,Computer Software,101-500 employees
Al Ahly Momkn for e-payment,https://wuzzuf.net/jobs/careers/Al-Ahly-Momkn-for-e-payment-Egypt-70281,"Cairo, Egypt",2011,Banking,101-500 employees
Charisma Design,https://wuzzuf.net/jobs/careers/Charisma-Design-Egypt-41338,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Premier Services and Recruitment,https://wuzzuf.net/jobs/careers/Premier-Services-and-Recruitment-Egypt-9418,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
LABS,https://wuzzuf.net/jobs/careers/LABS-Egypt-36615,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
DXC.technology,https://wuzzuf.net/jobs/careers/DXC.technology-Saudi Arabia-91492,"Riyadh, Saudi Arabia",Foundation date not provided,Industry not provided,Size not provided
Decorative Glass And Arab Union Glass Group,https://wuzzuf.net/jobs/careers/Arab-Union-Glass-Factory-Egypt-59231,Egypt,1960,Manufacturing,More than 1000 employees
IST Networks,https://wuzzuf.net/jobs/careers/IST-Networks-Egypt-57432,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Anzma tech,https://wuzzuf.net/jobs/careers/Anzma-tech-Egypt-45359,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Superior Business Solutions,https://wuzzuf.net/jobs/careers/Superior-Business-Solutions-United-Arab-Emirates-19788,"Cairo, Egypt",2009,Information Technology Services,11-50 employees
DX Republic,https://wuzzuf.net/jobs/careers/-85330,Egypt,Foundation date not provided,Industry not provided,Size not provided
As-Salam International Hospital,https://wuzzuf.net/jobs/careers/As-Salam-International-Hospital-Egypt-11392,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Dynamicslink,https://wuzzuf.net/jobs/careers/Dynamicslink-Egypt-21303,"Cairo, Egypt",2015,Information Technology Services,51-100 employees
Centione,https://wuzzuf.net/jobs/careers/Centione-Egypt-17177,"Cairo, Egypt",2020,Marketing and Advertising,1-10 employees
Finiex Soft ,https://wuzzuf.net/jobs/careers/FAAINEX-Saudi Arabia-94360,"Alexandria, Egypt",Foundation date not provided,Industry not provided,Size not provided
ITS ,https://wuzzuf.net/jobs/careers/ITS-Egypt-29055,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Dorra Group,https://wuzzuf.net/jobs/careers/Dorra-Group-Egypt-20151,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Outservingplus,https://wuzzuf.net/jobs/careers/Outservingplus-Egypt-75652,"Giza, Egypt",2021,Outsourcing/Offshoring,51-100 employees
Nahdet Misr Publishing Group,https://wuzzuf.net/jobs/careers/Nahdet-Misr-Publishing-Group-Egypt-1272,"Giza, Egypt",1938,Publishing and Printing,More than 1000 employees
Jumia,https://wuzzuf.net/jobs/careers/Jumia-Egypt-2019,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
"White House Nannies, Inc.","https://wuzzuf.net/jobs/careers/White House Nannies, Inc.-Egypt-95344","Alexandria, Egypt",Foundation date not provided,Industry not provided,Size not provided
Qsource,https://wuzzuf.net/jobs/careers/Qsource-Egypt-5561,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Mubasher,https://wuzzuf.net/jobs/careers/Mubasher-Egypt-1737,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Al Ahly capital holding - Al Ahly Tamkeen,https://wuzzuf.net/jobs/careers/Al-Ahly-capital-holding---Al-Ahly-Tamkeen-Egypt-63503,"Cairo, Egypt",2020,Financial Services,501-1000 employees
"Halliburton Energy Services, Inc.","https://wuzzuf.net/jobs/careers/Halliburton Energy Services, Inc.-Egypt-95343","Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
MICA,https://wuzzuf.net/jobs/careers/MICA-Egypt-36968,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Kode Clubs - Hassan Allam Sports Clubs,https://wuzzuf.net/jobs/careers/Kode-Clubs-Egypt-94551,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
HITS Solutions,https://wuzzuf.net/jobs/careers/HITS-Solutions-Egypt-3358,"Cairo, Egypt",1998,Biotechnology,101-500 employees
9H Capital ,https://wuzzuf.net/jobs/careers/9H Capital-Egypt-86790,"Żebbuġ, Malta",Foundation date not provided,Industry not provided,51-100 employees
Alouf Travel,https://wuzzuf.net/jobs/careers/Alouf-Travel-Egypt-58360,"Giza, Egypt",1995,Transportation,101-500 employees
InnovaDigits,https://wuzzuf.net/jobs/careers/Innovadigits-Egypt-82835,"Cairo, Egypt",2014,Computer Software,Size not provided
Rawaj-HCM,https://wuzzuf.net/jobs/careers/Rawaj-co--recruitment-Egypt-28386,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
DIRAC SYSTEMS,https://wuzzuf.net/jobs/careers/DIRAC-SYSTEMS-Egypt-6923,"Cairo, Egypt",2014,Information Technology Services,11-50 employees
3S Software,https://wuzzuf.net/jobs/careers/3S-Software-Egypt-14128,"Cairo, Egypt",2006,Computer Software,51-100 employees
Ahmed El-Sallab,https://wuzzuf.net/jobs/careers/Elsallab-Group-Egypt-8557,Egypt,1912,Retail,501-1000 employees
Nahdetmisr For Environmental services,https://wuzzuf.net/jobs/careers/Nahdetmisr For Environmental services-Egypt-95689,Egypt,Foundation date not provided,Industry not provided,Size not provided
shaheen communication data systems ,https://wuzzuf.net/jobs/careers/confidential-Egypt-85760,Egypt,Foundation date not provided,Industry not provided,Size not provided
Global Brands,https://wuzzuf.net/jobs/careers/gbrands-com-555,"Cairo, Egypt",1997,Computer Hardware,101-500 employees
SYSTRA,https://wuzzuf.net/jobs/careers/SYSTRA-United-Arab-Emirates-23269,"Cairo, Egypt",1957,Transportation,More than 1000 employees
Amazon MENA,https://wuzzuf.net/jobs/careers/Amazon MENA-United Arab Emirates-91371,"Dubai, United Arab Emirates",Foundation date not provided,Industry not provided,Size not provided
Enwan Developments,https://wuzzuf.net/jobs/careers/Enwan developments-Egypt-95663,Egypt,2012,Real Estate/Property Management,51-100 employees
Dafa,https://wuzzuf.net/jobs/careers/Tarseya-Egypt-76749,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Mazar construction ,https://wuzzuf.net/jobs/careers/Mazar construction-Egypt-95168,"Cairo, Egypt",2007,Construction - Residential & Commercial/Office,11-50 employees
Viavi Solutions,https://wuzzuf.net/jobs/careers/Viavi-Solutions-Egypt-67182,"Cairo, Egypt",2015,Information Technology Services,More than 1000 employees
TRIMETIS,https://wuzzuf.net/jobs/careers/TRIMETIS-Egypt-77031,"Cairo, Egypt",2012,Information Technology Services,51-100 employees
Exacall,https://wuzzuf.net/jobs/careers/Exacall-Egypt-95665,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
"Honeywell International, Inc.","https://wuzzuf.net/jobs/careers/Honeywell International, Inc.-United Arab Emirates-94736","Abu Dhabi, United Arab Emirates",Foundation date not provided,Industry not provided,Size not provided
Pure Group ,https://wuzzuf.net/jobs/careers/Pure Group-Egypt-94604,Egypt,Foundation date not provided,Industry not provided,Size not provided
EELU,https://wuzzuf.net/jobs/careers/eelu-Egypt-52613,"Cairo, Egypt",2008,Higher Education,101-500 employees
Logistica,https://wuzzuf.net/jobs/careers/Logistica-Egypt-16461,"Giza, Egypt",2011,Logistics and Supply Chain,101-500 employees
Estafsar,https://wuzzuf.net/jobs/careers/Estafsar-Egypt-57612,"Cairo, Egypt",2020,Information Technology Services,1-10 employees
Xceed Contact Center,https://wuzzuf.net/jobs/careers/XCEEDCC-Egypt-52679,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
FlairsTech,https://wuzzuf.net/jobs/careers/Flairstech-Egypt-1631,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Etisalat Egypt,https://wuzzuf.net/jobs/careers/Etisalat-Misr-Egypt-4219,"Cairo, Egypt",2007,Telecommunications,More than 1000 employees
United Group For Engineering And Investment,https://wuzzuf.net/jobs/careers/United-Group-For-Engineering-And-Investment-Egypt-18023,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Ultimate Academy Not Verified,https://wuzzuf.net/jobs/careers/Ultimate Academy-Egypt-95649,"Giza, Egypt",2017,Computer Software,101-500 employees
WSC,https://wuzzuf.net/jobs/careers/WSC-Egypt-87343,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
ثقة الانجاز,https://wuzzuf.net/jobs/careers/Ø«Ù‚Ø©-Ø§Ù„Ø§Ù†Ø¬Ø§Ø²-Egypt-95233,"Cairo, Egypt",2020,Computer Software,Size not provided
Spark Systems,https://wuzzuf.net/jobs/careers/Spark-Systems-Egypt-1607,"Giza, Egypt",2008,Computer Software,11-50 employees
El-Sewedy Electrometer,https://wuzzuf.net/jobs/careers/El-Sewedy-Electrometer-Egypt-23922,"Giza, Egypt",1998,Manufacturing,More than 1000 employees
Softec Technologies,https://wuzzuf.net/jobs/careers/Softec-international-Egypt-8897,"Cairo, Egypt",1980,Computer Software,101-500 employees
qTech. ,https://wuzzuf.net/jobs/careers/Alqemam-For-Programming-Egypt-3545,"Dakahlia, Egypt",2010,Computer Software,101-500 employees
AGG information technology,https://wuzzuf.net/jobs/careers/-89831,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
3D Diagnostix,https://wuzzuf.net/jobs/careers/3D-Diagnostix-Egypt-3761,"Cairo, Egypt",2005,Healthcare and Medical Services,101-500 employees
Art Link,https://wuzzuf.net/jobs/careers/Art-Link-Egypt-40308,"Alexandria, Egypt",1998,Computer Networking,101-500 employees
El Sewedy Education - The Knowledge Hub Universities,https://wuzzuf.net/jobs/careers/El-Sewedy-Education-Egypt-30386,"Cairo, Egypt",Foundation date not provided,Industry not provided,101-500 employees
El Alsson British & American International School,https://wuzzuf.net/jobs/careers/IH-14644,"Giza, Egypt",1982,Education,501-1000 employees
Schneider Electric - Egypt,https://wuzzuf.net/jobs/careers/Schneider Electric - Egypt-Egypt-91590,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
classera,https://wuzzuf.net/jobs/careers/Eureka-Egypt-27241,"Cairo, Egypt",2017,Information Technology Services,101-500 employees
Agolo Egypt,https://wuzzuf.net/jobs/careers/Agolo Egypt-Egypt-79417,Egypt,Foundation date not provided,Industry not provided,Size not provided
Premium Card,https://wuzzuf.net/jobs/careers/Premium-Card-Egypt-766,"Giza, Egypt",2002,Financial Services,101-500 employees
Infotech,https://wuzzuf.net/jobs/careers/Infotech-Egypt-11641,"Cairo, Egypt",1999,Business Services - Other,11-50 employees
 Roaya,https://wuzzuf.net/jobs/careers/Roaya-Electronic-Egypt-22686,"Cairo, Egypt",2010,Information Technology Services,51-100 employees
Lychee Fruit Bar,https://wuzzuf.net/jobs/careers/Lychee-Fruit-Bar-Egypt-68204,Egypt,2012,Food and Beverage Production,101-500 employees
Mazaya,https://wuzzuf.net/jobs/careers/Mazaya-Egypt-16975,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
GS - GEO Solutions ,https://wuzzuf.net/jobs/careers/GS - GEO Solutions-Egypt-77026,"Cairo, Egypt",2020,Information Technology Services,11-50 employees
Arabic Localizer,https://wuzzuf.net/jobs/careers/Arabic-Localizer-Egypt-2790,"Giza, Egypt",2009,Computer Software,Size not provided
hyperone,https://wuzzuf.net/jobs/careers/hyperone-Egypt-95593,Egypt,Foundation date not provided,Industry not provided,Size not provided
K Line Europe,https://wuzzuf.net/jobs/careers/-92966,"Cairo, Egypt",2014,Medical Devices and Supplies,Size not provided
TTC Technologies,https://wuzzuf.net/jobs/careers/TTC-Technologies-Egypt-20890,"Cairo, Egypt",2010,Computer Software,11-50 employees
Injaz Tech for advanced systems,https://wuzzuf.net/jobs/careers/Injaz-Tech-for-advanced-systems-Egypt-63646,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
SE Wiring Systems EGYPT,https://wuzzuf.net/jobs/careers/SE-Wiring-Systems-EGYPT-Egypt-23300,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
ElMotaheda Web ,https://wuzzuf.net/jobs/careers/ElMotaheda-Web--Egypt-17527,"Cairo, Egypt",2004,Information Technology Services,1-10 employees
Johnson & Johnson,https://wuzzuf.net/jobs/careers/Johnson & Johnson-United Arab Emirates-93154,"Dubai, United Arab Emirates",Foundation date not provided,Industry not provided,Size not provided
Cryptostart,https://wuzzuf.net/jobs/careers/Cryptostart-United Arab Emirates-95439,"Dubai, United Arab Emirates",Foundation date not provided,Industry not provided,Size not provided
Egabi FSI,https://wuzzuf.net/jobs/careers/egabi-solution-Egypt-2056,Egypt,2006,Information Technology Services,101-500 employees
SMARTTEL,https://wuzzuf.net/jobs/careers/SMARTTEL-Egypt-46874,"Cairo, Egypt",2005,Security and Surveillance,51-100 employees
Rashideen Egypt for Trade ,https://wuzzuf.net/jobs/careers/Rashideen-Egypt-for-Trade-Egypt-34677,"Cairo, Egypt",2000,FMCG,More than 1000 employees
intrazero,https://wuzzuf.net/jobs/careers/intrazero-Egypt-34477,"Cairo, Egypt",2016,Computer Software,11-50 employees
TEPCO S.A.E.,https://wuzzuf.net/jobs/careers/TEPCO-S-A-E--Egypt-5396,"Giza, Egypt",1979,Engineering Services,501-1000 employees
Jumia Technologies AG,https://wuzzuf.net/jobs/careers/Jumia Technologies AG-Egypt-94950,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Expleo,https://wuzzuf.net/jobs/careers/SQS-Egypt-Egypt-2422,"Cairo, Egypt",1966,Computer Software,More than 1000 employees
LINK TSP,https://wuzzuf.net/jobs/careers/LINK-TSP-Egypt-86185,"Cairo, Egypt",2001,Computer Software,Size not provided
EAST ,https://wuzzuf.net/jobs/careers/EAST-Egypt-14673,"Cairo, Egypt",2000,Engineering Services,101-500 employees
Gest For Metals ,https://wuzzuf.net/jobs/careers/Gest-For-Metals-Egypt-18352,"Sharqia, Egypt",Foundation date not provided,Industry not provided,Size not provided
Smartverse,https://wuzzuf.net/jobs/careers/Smart-Group-Egypt-36642,"Cairo, Egypt",1999,FMCG,501-1000 employees
LxT,https://wuzzuf.net/jobs/careers/Linguistix-tank-Egypt-44200,"Cairo, Egypt",2010,Information Technology Services,101-500 employees
Greenway,https://wuzzuf.net/jobs/careers/Greenway-Egypt-74242,Egypt,Foundation date not provided,Industry not provided,Size not provided
Basata,https://wuzzuf.net/jobs/careers/Masary-Egypt-11058,"Cairo, Egypt",2009,Computer Software,More than 1000 employees
Azm development,https://wuzzuf.net/jobs/careers/MTS-Egypt-9092,"Cairo, Egypt",2019,Computer Software,Size not provided
OdooTec,https://wuzzuf.net/jobs/careers/OdooTec-Egypt-57875,"Cairo, Egypt",2007,Computer Software,11-50 employees
GLOBAL AUTO,https://wuzzuf.net/jobs/careers/Bavarian-Auto-Group-Egypt-3200,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Fixed Solutions,https://wuzzuf.net/jobs/careers/Fixed-Solutions-Egypt-18523,"Cairo, Egypt",2007,Information Technology Services,51-100 employees
Holix,https://wuzzuf.net/jobs/careers/EButler-Egypt-51167,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Telegeeks LLC,https://wuzzuf.net/jobs/careers/Telegeeks LLC-United States-95493,"Cairo, Egypt",2022,Telecommunications,11-50 employees
ECONSTRUCT DESIGN & BUILD Pvt Ltd.,https://wuzzuf.net/jobs/careers/ECONSTRUCT DESIGN & BUILD Pvt Ltd.-Egypt-94725,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Midea Group,https://wuzzuf.net/jobs/careers/Midea-Group-Egypt-64266,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Zeal Capital Market (Seychelles) Limited,https://wuzzuf.net/jobs/careers/Zeal Capital Market (Seychelles) Limited-Egypt-95453,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
PILLARS CONSULTANCY & RECRUITMENT,https://wuzzuf.net/jobs/careers/PILLARS CONSULTANCY & RECRUITMENT-Egypt-95309,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
AFFSQUARE,https://wuzzuf.net/jobs/careers/Affsquare-Egypt-45753,"Cairo, Egypt",2018,Marketing and Advertising,51-100 employees
Octane solutions ,https://wuzzuf.net/jobs/careers/Octane-solutions-Egypt-91162,"Cairo, Egypt",Foundation date not provided,Industry not provided,51-100 employees
Raya Holding for Financial Investments,https://wuzzuf.net/jobs/careers/Raya Holding for Financial Investments-Egypt-91415,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
SURE International Technology,https://wuzzuf.net/jobs/careers/SURE-International-Egypt-21250,"Cairo, Egypt",2004,Information Technology Services,101-500 employees
Egast,https://wuzzuf.net/jobs/careers/Egast-Egypt-30501,"Alexandria, Egypt",Foundation date not provided,Industry not provided,Size not provided
Aliaict,https://wuzzuf.net/jobs/careers/aliaict-Egypt-38130,"Cairo, Egypt",2018,Information Technology Services,101-500 employees
softprograms,https://wuzzuf.net/jobs/careers/softprograms-Egypt-88014,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
