Company name,Company URL,Location,Founded,Industry,Company size
Network International -Egypt,https://wuzzuf.net/jobs/careers/Network-International--Egypt-Egypt-28921,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Samaya Electronics Egypt LTD,https://wuzzuf.net/jobs/careers/Samaya-Electronics-Egypt-LTD-Egypt-5770,Egypt,2012,Automotive,501-1000 employees
EEC Group,https://wuzzuf.net/jobs/careers/EEC-Group-Egypt-31409,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Kian Alraqmih,https://wuzzuf.net/jobs/careers/Kian-Alraqmih-Egypt-95222,Saudi Arabia,Foundation date not provided,Industry not provided,Size not provided
acwme,https://wuzzuf.net/jobs/careers/CWME-Egypt-83165,"Riyadh, Saudi Arabia",2020,Internet/E-commerce,Size not provided
Four Seasons Hotels and Resorts,https://wuzzuf.net/jobs/careers/Four Seasons Hotels and Resorts-Kuwait-91482,"Kuwait City, Kuwait",Foundation date not provided,Industry not provided,Size not provided
Kuehne & Nagel Logistics,https://wuzzuf.net/jobs/careers/Kuehne & Nagel Logistics-Qatar-94706,"Doha, Qatar",Foundation date not provided,Industry not provided,Size not provided
S.C. Johnson & Son Inc,https://wuzzuf.net/jobs/careers/S.C. Johnson & Son Inc-Egypt-94731,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
eBSEG,https://wuzzuf.net/jobs/careers/eBSEG-Egypt-10608,"Cairo, Egypt",2000,Computer Software,51-100 employees
Kasrawy Group,https://wuzzuf.net/jobs/careers/Kasrawy-Group-Egypt-43947,"Giza, Egypt",1979,Automotive,501-1000 employees
Measuresoft oil and gas Services   ,https://wuzzuf.net/jobs/careers/Measuresoft oil and gas Services-Egypt-93887,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Global Academic Foundation Hosting University of Hertfordshire UH,https://wuzzuf.net/jobs/careers/Global-University-Egypt-52138,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
IT Pillars,https://wuzzuf.net/jobs/careers/IT-Pillars-Egypt-21866,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Pillars,https://wuzzuf.net/jobs/careers/Pillars-Egypt-4586,"Cairo, Egypt",2012,Human Resources,Size not provided
Khatib & Alami,https://wuzzuf.net/jobs/careers/Khatib & Alami-Egypt-95376,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
eVision,https://wuzzuf.net/jobs/careers/eVision-Egypt-7064,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Numrah,https://wuzzuf.net/jobs/careers/Numrah-Saudi Arabia-95178,Saudi Arabia,Foundation date not provided,Industry not provided,Size not provided
Nature's Rule Egypt LLC ,https://wuzzuf.net/jobs/careers/Nature-Rule-Jordan-31287,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Statements for Consulting,https://wuzzuf.net/jobs/careers/Statements-for-Consulting-Egypt-8643,"Cairo, Egypt",2009,Financial Services,Size not provided
Ultimate Solutions Egypt,https://wuzzuf.net/jobs/careers/Ultimate-Solutions-Egypt-Egypt-20844,Egypt,1993,Computer Software,101-500 employees
Elhazek Construction,https://wuzzuf.net/jobs/careers/Elhazek-Construction-Egypt-32696,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Kick Start Interactive,https://wuzzuf.net/jobs/careers/Kick-Start-Interactive-Egypt-8629,"Cairo, Egypt",2014,Computer Software,Size not provided
INNOVA SOFT,https://wuzzuf.net/jobs/careers/INNOVA SOFT-Tunisia-95355,"Ariana, Tunisia",2004,Computer Software,11-50 employees
VAS Integrated Solutions,https://wuzzuf.net/jobs/careers/VAS Integrated Solutions-Egypt-92648,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Nerva,https://wuzzuf.net/jobs/careers/Nerva-Egypt-94160,"Cairo, Egypt",2020,Computer Software,11-50 employees
Auto Tager,https://wuzzuf.net/jobs/careers/Auto-Tager-Egypt-91959,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Erada,https://wuzzuf.net/jobs/careers/Erada-Egypt-89969,Egypt,Foundation date not provided,Industry not provided,Size not provided
WorldFish,https://wuzzuf.net/jobs/careers/WorldFish-Egypt-95310,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
WUZZUF,https://wuzzuf.net/jobs/careers/WUZZUF-Egypt-15061,"Cairo, Egypt",2009,Computer Software,101-500 employees
Shatta,https://wuzzuf.net/jobs/careers/Shatta-Egypt-46708,"Cairo, Egypt",1988,Textile and Clothing,501-1000 employees
"Nile Bits, LLC.","https://wuzzuf.net/jobs/careers/Nile Bits, LLC.-Egypt-95302","Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Intercept Technologies,https://wuzzuf.net/jobs/careers/Intercept-Technologies-Egypt-64833,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Nour Eldin Elsherif for Trading vehicles,https://wuzzuf.net/jobs/careers/nour-eldin-elsherif-for-trading-vehicles-Egypt-30889,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Delta Egypt For Lighting ,https://wuzzuf.net/jobs/careers/Delta-Egypt-Foreign-Trade-Egypt-5797,"Cairo, Egypt",1984,Other - Not Classified,101-500 employees
Tokio Marine Egypt General,https://wuzzuf.net/jobs/careers/Tokio-Marine-Egypt-General-Takaful-Egypt-14889,"Cairo, Egypt",2008,Insurance,101-500 employees
Fawry for Banking Technology and Electronic Payments S.A.E,https://wuzzuf.net/jobs/careers/Fawry-Banking---Payment-Technology-Services-Egypt-2878,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Mass Technology,https://wuzzuf.net/jobs/careers/Mass Technology-Egypt-95263,"Cairo, Egypt",2018,Computer Software,Size not provided
Youxel,https://wuzzuf.net/jobs/careers/Youxel-Egypt-19495,"Cairo, Egypt",2011,Information Technology Services,101-500 employees
365 Ecology,https://wuzzuf.net/jobs/careers/365-Ecology-Egypt-24389,"Giza, Egypt",2015,Construction - Industrial Facilities and Infrastructure,Size not provided
Amasi,https://wuzzuf.net/jobs/careers/Amasi-Saudi Arabia-92230,"Riyadh, Saudi Arabia",Foundation date not provided,Industry not provided,Size not provided
2CooM,https://wuzzuf.net/jobs/careers/2CooM-Egypt-86048,"Giza, Egypt",2021,Management Consulting,11-50 employees
Bypa-ss,https://wuzzuf.net/jobs/careers/Bypa-ss-Egypt-23618,"Cairo, Egypt",2019,Information Technology Services,11-50 employees
Cilantro,https://wuzzuf.net/jobs/careers/Cilantro-Egypt-69955,"Cairo, Egypt",1999,Food and Beverage Production,101-500 employees
(MSA) October University,https://wuzzuf.net/jobs/careers/--40-MSA--41--October-University-Egypt-2281,"Cairo, Egypt",1996,Education,More than 1000 employees
Gamers Lounge,https://wuzzuf.net/jobs/careers/Gamers-Lounge-Egypt-41144,"Cairo, Egypt",2014,Marketing and Advertising,Size not provided
Deal,https://wuzzuf.net/jobs/careers/Deal-Saudi-Arabia-44227,"Dammam, Saudi Arabia",Foundation date not provided,Industry not provided,Size not provided
SevenCodeApps,https://wuzzuf.net/jobs/careers/SevenCodeApps-Egypt-84901,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Ali Alkhajeh Development,https://wuzzuf.net/jobs/careers/Ali Alkhajeh Development-Egypt-95244,Egypt,Foundation date not provided,Industry not provided,Size not provided
CARITech,https://wuzzuf.net/jobs/careers/Private-business-Egypt-69535,"Giza, Egypt",2020,Banking,Size not provided
Smart Glass Company,https://wuzzuf.net/jobs/careers/Smart-Glass-Company-Egypt-24204,"Fayoum, Egypt",2009,Manufacturing,101-500 employees
BBI-Consultancy,https://wuzzuf.net/jobs/careers/BBI-Consultancy-Egypt-1113,Egypt,2009,Computer Software,51-100 employees
IKEN Technology,https://wuzzuf.net/jobs/careers/IKEN-Technology-Egypt-44052,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Robiquity,https://wuzzuf.net/jobs/careers/Robiquity-Egypt-57118,"Cairo, Egypt",2016,Information Technology Services,51-100 employees
Ofoq Consulting,https://wuzzuf.net/jobs/careers/Ofoq-Consulting-Egypt-10611,"Giza, Egypt",2015,Computer Software,Size not provided
Kiromarble for marble and granite,https://wuzzuf.net/jobs/careers/Kiromarble-for-marble-and-granite-Egypt-30738,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Golden Gates ,https://wuzzuf.net/jobs/careers/Golden Gates-Egypt-87136,"Giza, Egypt",2017,Venture Capital and Private Equity,Size not provided
YELO,https://wuzzuf.net/jobs/careers/Al-wefaq-Egypt-23708,"Cairo, Egypt",2000,Automotive,More than 1000 employees
Dedalus,https://wuzzuf.net/jobs/careers/Dedalus-India-95195,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Klik,https://wuzzuf.net/jobs/careers/Klik-Egypt-95090,Singapore,Foundation date not provided,Industry not provided,Size not provided
scandiweb,https://wuzzuf.net/jobs/careers/scandiweb-Latvia-83341,"Riga, Latvia",2003,Computer Software,501-1000 employees
sios,https://wuzzuf.net/jobs/careers/sios-Egypt-95174,Egypt,Foundation date not provided,Industry not provided,Size not provided
Yassien & Partners Law Firm,https://wuzzuf.net/jobs/careers/Yassien---Partners-Law-Firm-Egypt-70230,"Giza, Egypt",2007,Law Enforcement,11-50 employees
intella,https://wuzzuf.net/jobs/careers/intella-Egypt-73664,"Giza, Egypt",2021,Computer Software,11-50 employees
Deutschland Technology Limited,https://wuzzuf.net/jobs/careers/Deutschland-technology-Egypt-37376,"Cairo, Egypt",2004,Construction - Industrial Facilities and Infrastructure,101-500 employees
Spatium Software,https://wuzzuf.net/jobs/careers/Spatium Software-Egypt-94933,"Assiut, Egypt",2021,Computer Software,Size not provided
Safa International Travel,https://wuzzuf.net/jobs/careers/Safa-International-Travel-Egypt-43271,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Alkarma Developments,https://wuzzuf.net/jobs/careers/Alkarma-Developments-Egypt-52486,"Giza, Egypt",1995,Construction - Residential & Commercial/Office,51-100 employees
MCV,https://wuzzuf.net/jobs/careers/MCV-Egypt-2340,Egypt,Foundation date not provided,Industry not provided,Size not provided
Eg Insurtech,https://wuzzuf.net/jobs/careers/Eg-Insurtech-Egypt-77552,"Cairo, Egypt",2008,Computer Software,Size not provided
Yespays,https://wuzzuf.net/jobs/careers/Yeshtery-Egypt-80137,"Cairo, Egypt",2020,Apparel and Fashion,Size not provided
Furqan Group for Education & IT,https://wuzzuf.net/jobs/careers/Furqan-Group-for-Education---IT-Egypt-56917,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Crevisoft Corporation,https://wuzzuf.net/jobs/careers/Crevisoft-Egypt-40283,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Sulfah,https://wuzzuf.net/jobs/careers/Rqmnh-Digitizing-Saudi-Arabia-9481,Egypt,2018,Financial Services,11-50 employees
Egypt Bakery Stores,https://wuzzuf.net/jobs/careers/Egypt-Bakery-Stores-Egypt-71096,Egypt,Foundation date not provided,Industry not provided,Size not provided
Target Integrated Systems,https://wuzzuf.net/jobs/careers/Target-Egypt-78472,"Cairo, Egypt",2013,Information Technology Services,11-50 employees
Enegix,https://wuzzuf.net/jobs/careers/Enegix-Egypt-94818,"Alexandria, Egypt",2019,Business Services - Other,Size not provided
Alstom,https://wuzzuf.net/jobs/careers/Alstom-Egypt-79317,"Cairo, Egypt",Foundation date not provided,Industry not provided,101-500 employees
RUSHBRUSH INC,https://wuzzuf.net/jobs/careers/RUSHBRUSH-INC-Egypt-28872,"Alexandria, Egypt",2016,Consumer Electronics,101-500 employees
Procoor,https://wuzzuf.net/jobs/careers/Procoor-Egypt-24462,Egypt,2010,Computer Software,51-100 employees
NCR,https://wuzzuf.net/jobs/careers/NCR-Egypt-41686,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Promech Engineering,https://wuzzuf.net/jobs/careers/Promech-Engineering-Egypt-21525,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Forasna,https://wuzzuf.net/jobs/careers/Forasna-Egypt-15764,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Origin integrated marketing agency,https://wuzzuf.net/jobs/careers/Origin integrated marketing agency-Egypt-95118,Egypt,Foundation date not provided,Industry not provided,Size not provided
Nile Projects & Trading,https://wuzzuf.net/jobs/careers/Nile-Projects-Trading-Egypt-15438,"Cairo, Egypt",Foundation date not provided,Industry not provided,More than 1000 employees
InitRes,https://wuzzuf.net/jobs/careers/InitRes-Egypt-68636,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
GEMS Education,https://wuzzuf.net/jobs/careers/GEMS-Education-Egypt-42339,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Seoudi Supermarket,https://wuzzuf.net/jobs/careers/United-Grocers-Egypt-16038,"Giza, Egypt",1938,Retail,More than 1000 employees
Ethos International School,https://wuzzuf.net/jobs/careers/Ethos-International-School-Egypt-14146,"Giza, Egypt",2015,Education,101-500 employees
Zeidex,https://wuzzuf.net/jobs/careers/zeidex-Egypt-40622,"Giza, Egypt",2010,Marketing and Advertising,11-50 employees
Glamera,https://wuzzuf.net/jobs/careers/Glamera-Egypt-47172,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Travolic.LLc,https://wuzzuf.net/jobs/careers/Travolic-LLc-Egypt-38993,"Cairo, Egypt",2017,Travel and Tourism,11-50 employees
Tech 101,https://wuzzuf.net/jobs/careers/Tech 101-Romania-95017,Romania,Foundation date not provided,Industry not provided,Size not provided
etisal for advanced industries ,https://wuzzuf.net/jobs/careers/etisal-for-advanced-industries-Egypt-83648,"Giza, Egypt",2021,Manufacturing,501-1000 employees
iNetwork Solutions,https://wuzzuf.net/jobs/careers/iNetwork-Solutions-Egypt-28500,Egypt,Foundation date not provided,Industry not provided,Size not provided
alfanar,https://wuzzuf.net/jobs/careers/Alfanar-Egypt-58564,"Cairo, Egypt",1976,Construction - Industrial Facilities and Infrastructure,More than 1000 employees
Town Team,https://wuzzuf.net/jobs/careers/Town-Team-Egypt-18463,"Gharbia, Egypt",Foundation date not provided,Industry not provided,Size not provided
Signature Technology DMCC,https://wuzzuf.net/jobs/careers/Signature Technology DMCC-United Arab Emirates-94616,"Dubai, United Arab Emirates",Foundation date not provided,Industry not provided,Size not provided
Tartoussieh Engineering & Trading Co,https://wuzzuf.net/jobs/careers/Tartoussieh-for-Engineering-Egypt-27005,Egypt,1945,Engineering Services,51-100 employees
Mercury Visual Solutions ,https://wuzzuf.net/jobs/careers/Mercury Visual Solutions-Egypt-95068,Egypt,Foundation date not provided,Industry not provided,Size not provided
"The Micro, Small & Medium Enterprise Development Agency ",https://wuzzuf.net/jobs/careers/The-Micro--Small--amp--Medium-Enterprise-Development-Agency-Egypt-43065,"Giza, Egypt",1991,Business Services - Other,More than 1000 employees
TechAdemics,https://wuzzuf.net/jobs/careers/TechAdemics-Egypt-55889,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Upwyde,https://wuzzuf.net/jobs/careers/Upwyde-Egypt-76587,Egypt,Foundation date not provided,Industry not provided,Size not provided
Premier Services and Recruitment Overseas ,https://wuzzuf.net/jobs/careers/Premier-Services-and-Recruitment-Egypt-30005,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Queen Tech Solutions,https://wuzzuf.net/jobs/careers/Queen-Tech-Solutions-Egypt-16621,"Cairo, Egypt",2006,Computer Software,51-100 employees
Zewail City,https://wuzzuf.net/jobs/careers/Zewail-City-Egypt-2881,"Giza, Egypt",2011,Higher Education,501-1000 employees
Lumin,https://wuzzuf.net/jobs/careers/Excel-Systems-LLC-Egypt-13729,"Giza, Egypt",2002,Information Technology Services,51-100 employees
Mazloum Real Estate,https://wuzzuf.net/jobs/careers/Mazloum-Real-Estate-Egypt-85128,Egypt,Foundation date not provided,Industry not provided,51-100 employees
Advanced Solutions,https://wuzzuf.net/jobs/careers/Advanced-Solutions-Philippines-70579,"Cairo, Egypt",2001,Information Technology Services,11-50 employees
engineering tracks,https://wuzzuf.net/jobs/careers/engineering-tracks-Egypt-50528,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Asass,https://wuzzuf.net/jobs/careers/Asass-13531,"Cairo, Egypt",2011,Construction - Industrial Facilities and Infrastructure,101-500 employees
PSH,https://wuzzuf.net/jobs/careers/PSH-Egypt-81542,"Cairo, Egypt",1999,Computer Software,51-100 employees
Techno Management,https://wuzzuf.net/jobs/careers/Techno-Managemenet-Egypt-7889,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
egabi solutions,https://wuzzuf.net/jobs/careers/Egabi-Solutions-Egypt-58526,"Cairo, Egypt",1999,Computer Software,101-500 employees
El Khamis Hydraulic Company ,https://wuzzuf.net/jobs/careers/El Khamis Hydraulic Company-Egypt-95026,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Delivery-tech,https://wuzzuf.net/jobs/careers/Delivery-tech-United-States-63355,"San Diego, United States",2009,Marketing and Advertising,51-100 employees
Orient,https://wuzzuf.net/jobs/careers/Orient-Egypt-17201,"Cairo, Egypt",1946,Chemicals,101-500 employees
Vzadi.com,https://wuzzuf.net/jobs/careers/Vzadi.com-Egypt-94985,"Giza, Egypt",2023,Computer and Network Security,11-50 employees
Bright Vision  ,https://wuzzuf.net/jobs/careers/Bright Vision-Egypt-74394,"Giza, Egypt",2018,Computer Games,11-50 employees
El Teriak Industrial Group,https://wuzzuf.net/jobs/careers/El-Teriak-Industrial-Group-Egypt-17942,"Cairo, Egypt",1980,Agriculture/Fishing/Farming,Size not provided
Dentsu Inc,https://wuzzuf.net/jobs/careers/Dentsu Inc-Saudi Arabia-94695,"Riyadh, Saudi Arabia",Foundation date not provided,Industry not provided,Size not provided
TIS,https://wuzzuf.net/jobs/careers/TIS-Saudi Arabia-94883,"Riyadh, Saudi Arabia",Foundation date not provided,Industry not provided,Size not provided
Efada Technology,https://wuzzuf.net/jobs/careers/Efada-Technology-Egypt-14085,"Cairo, Egypt",2008,Information Technology Services,51-100 employees
iono tech,https://wuzzuf.net/jobs/careers/iono tech-Egypt-94935,Egypt,Foundation date not provided,Industry not provided,Size not provided
Khodar.com,https://wuzzuf.net/jobs/careers/Khodar-Trading-and-Marketing-Egypt-53155,"Cairo, Egypt",2019,Internet/E-commerce,101-500 employees
Zamil Steel Buildings Co,https://wuzzuf.net/jobs/careers/Zamil-Steel-Buildings-Co-Egypt-12650,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
LINK Development,https://wuzzuf.net/jobs/careers/A15-Egypt-15576,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
LoadServ,https://wuzzuf.net/jobs/careers/LoadServ-Egypt-94914,"Cairo, Egypt",2009,Computer Software,11-50 employees
Dimofinf Operations Center,https://wuzzuf.net/jobs/careers/Dimofinf-Operations-Center-Egypt-56,"Cairo, Egypt",1998,Information Technology Services,51-100 employees
Zawaya,https://wuzzuf.net/jobs/careers/Zawaya-Egypt-17301,"Cairo, Egypt",2014,Business Supplies and Equipment,Size not provided
Afaqy,https://wuzzuf.net/jobs/careers/Afaqy-Egypt-28121,"Cairo, Egypt",2005,Automotive,101-500 employees
Sequel Solutions,https://wuzzuf.net/jobs/careers/Care-Dental-Egypt-27404,"Cairo, Egypt",2017,Outsourcing/Offshoring,1-10 employees
2oolAmeme,https://wuzzuf.net/jobs/careers/2oolAmeme-Egypt-94877,"Cairo, Egypt",2020,Computer Games,1-10 employees
Mc Ledger,https://wuzzuf.net/jobs/careers/Cyber-Accounting-Services-L-L-C-United-Arab-Emirates-34892,"Giza, Egypt",2018,Accounting and Auditing Services,11-50 employees
Sierra Engineering & Manufacturing,https://wuzzuf.net/jobs/careers/Sierra-GCF-Egypt-11587,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Kenzz,https://wuzzuf.net/jobs/careers/Kenzz-Egypt-94892,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Could not find company name,https://wuzzuf.net/jobs/careers/Ibn-Sina-Pharma-Egypt-7249,Location not provided,Foundation date not provided,Industry not provided,Size not provided
Dubai Egypt Sweden,https://wuzzuf.net/jobs/careers/Dubai-Egypt-Sweden-Egypt-13844,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
TA telecom,https://wuzzuf.net/jobs/careers/TA-telecom-Egypt-60503,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Al Ahly Medical Company,https://wuzzuf.net/jobs/careers/Al-Ahly-Medical-Company-Egypt-7459,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Air Arabia,https://wuzzuf.net/jobs/careers/Air-Arabia-United-Arab-Emirates-24864,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
TensorGraph,https://wuzzuf.net/jobs/careers/TensorGraph-Egypt-32724,"Cairo, Egypt",2018,Computer Software,11-50 employees
BrightCap Ventures,https://wuzzuf.net/jobs/careers/BrightCap Ventures-Egypt-94853,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Mantrac,https://wuzzuf.net/jobs/careers/Mantrac-Egypt-27769,"Cairo, Egypt",1980,Construction - Industrial Facilities and Infrastructure,Size not provided
NAGADA,https://wuzzuf.net/jobs/careers/NAGADA-Egypt-13265,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Al Amin Technological Systems,https://wuzzuf.net/jobs/careers/AlAmin-Egypt-27680,"Cairo, Egypt",1980,Banking,Size not provided
Dataline technology company,https://wuzzuf.net/jobs/careers/Dataline technology company-Qatar-94835,Qatar,Foundation date not provided,Industry not provided,Size not provided
Options,https://wuzzuf.net/jobs/careers/Options-Egypt-32852,"Red Sea, Egypt",2018,Outsourcing/Offshoring,1-10 employees
Softxpert Incorporation ,https://wuzzuf.net/jobs/careers/Softxpert-Incorporation-Egypt-3527,"Alexandria, Egypt",Foundation date not provided,Industry not provided,Size not provided
INTERPAC,https://wuzzuf.net/jobs/careers/INTERPAC-Egypt-38476,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Kashier Payment Solutions,https://wuzzuf.net/jobs/careers/Elements-Financial-Technologies-Egypt-48104,"Cairo, Egypt",2017,Information Technology Services,Size not provided
e Aswaaq Misr,https://wuzzuf.net/jobs/careers/E-Aswaq-Misr-Egypt-54731,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Smartly,https://wuzzuf.net/jobs/careers/Starware-Egypt-31451,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Mimocodes,https://wuzzuf.net/jobs/careers/Mimocodes-Egypt-60819,"Cairo, Egypt",2018,Computer Software,Size not provided
PICO,https://wuzzuf.net/jobs/careers/PICO-Egypt-1595,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Arabian Systems,https://wuzzuf.net/jobs/careers/Arabian-Systems-Egypt-39379,"Cairo, Egypt",2018,Computer Software,51-100 employees
Egypt HiTech  ,https://wuzzuf.net/jobs/careers/Egypt HiTech-Egypt-91221,"Dakahlia, Egypt",2011,Computer Software,1-10 employees
ERP-Bank,https://wuzzuf.net/jobs/careers/ERP-Bank-Egypt-88090,"Alexandria, Egypt",Foundation date not provided,Industry not provided,Size not provided
"Do Localize, Ltd.",https://wuzzuf.net/jobs/careers/L10N-House--LTD--Egypt-35218,"Giza, Egypt",2012,Translation and Localization,11-50 employees
A1Softech,https://wuzzuf.net/jobs/careers/A1Softech-Egypt-12248,"Cairo, Egypt",2013,Computer Software,101-500 employees
CompactSoft International ,https://wuzzuf.net/jobs/careers/CompactSoft-Egypt-27512,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Health Insights Group,https://wuzzuf.net/jobs/careers/Health-Insights-Group-Egypt-78815,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
New Plan ,https://wuzzuf.net/jobs/careers/AlKhalil-Egypt-32501,"Cairo, Egypt",2018,Real Estate/Property Management,51-100 employees
Callvita,https://wuzzuf.net/jobs/careers/Callvita-United-States-40801,"Cairo, Egypt",2019,Computer Software,1-10 employees
British University of Egypt,https://wuzzuf.net/jobs/careers/British-University-of-Egypt-Egypt-70684,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Alexandria For Programming,https://wuzzuf.net/jobs/careers/Alexandria-for-programming-Egypt-6203,"Alexandria, Egypt",2008,Computer Software,11-50 employees
New Energy EV,https://wuzzuf.net/jobs/careers/-93422,Egypt,2014,Automotive,1-10 employees
Roya Developments,https://wuzzuf.net/jobs/careers/Roya-Developments-Egypt-72895,"Cairo, Egypt",2008,Real Estate/Property Management,Size not provided
Shifa Egypt,https://wuzzuf.net/jobs/careers/Shifa-Egypt-Egypt-48388,"Cairo, Egypt",2019,Healthcare and Medical Services,Size not provided
Silicon21,https://wuzzuf.net/jobs/careers/Silicon21-Egypt-3613,"Cairo, Egypt",1996,Computer Networking,101-500 employees
Masria Digital Payment (MDP),https://wuzzuf.net/jobs/careers/Masria-Card-Egypt-12728,"Cairo, Egypt",1985,Banking,501-1000 employees
Edu-Zone,https://wuzzuf.net/jobs/careers/Edu-Zone-Egypt-23772,"Cairo, Egypt",2016,Education,1-10 employees
Puzzle,https://wuzzuf.net/jobs/careers/Puzzle-Egypt-94656,"Alexandria, Egypt",2021,Marketing and Advertising,Size not provided
