Company name,Company URL,Location,Founded,Industry,Company size
Guestna,https://wuzzuf.net/jobs/careers/Guestna-Saudi Arabia-94208,"Riyadh, Saudi Arabia",Foundation date not provided,Industry not provided,Size not provided
Aman,https://wuzzuf.net/jobs/careers/Aman-Egypt-18390,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
TRAUXIT,https://wuzzuf.net/jobs/careers/TRAUXIT-Egypt-94646,Egypt,Foundation date not provided,Industry not provided,Size not provided
Kellogg Tolaram Noodles Egypt LLC,https://wuzzuf.net/jobs/careers/Kellogg-Tolaram-Noodles-Egypt-LLC-Egypt-43972,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Johnson Controls,https://wuzzuf.net/jobs/careers/Johnson-Controls-Saudi-Arabia-45733,"Cairo, Egypt",1991,Engineering Services,More than 1000 employees
Khales,https://wuzzuf.net/jobs/careers/Khales-Egypt-52822,Egypt,Foundation date not provided,Industry not provided,Size not provided
Marketopia,https://wuzzuf.net/jobs/careers/Marketopia-Egypt-49918,"Cairo, Egypt",2013,Marketing and Advertising,Size not provided
Naia Developments,https://wuzzuf.net/jobs/careers/Naia-Developments-Egypt-89653,Egypt,Foundation date not provided,Industry not provided,Size not provided
INDEVCO,https://wuzzuf.net/jobs/careers/Indevco-Lebanon-21008,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Capleo Globle,https://wuzzuf.net/jobs/careers/Capleo Globle-India-94576,India,Foundation date not provided,Industry not provided,Size not provided
EDRAK Software,https://wuzzuf.net/jobs/careers/EDRAK-Software-Egypt-10075,"Cairo, Egypt",2009,Computer Software,11-50 employees
Transmar International ,https://wuzzuf.net/jobs/careers/Transmar-International--Egypt-20249,"Cairo, Egypt",1979,Other - Not Classified,101-500 employees
Interactive Limited/Carma Group,https://wuzzuf.net/jobs/careers/Interactive-Limited-United-Arab-Emirates-82959,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
SHAWAHID ROADS INDUSTRIAL COMPANY ,https://wuzzuf.net/jobs/careers/SHAWAHID ROADS INDUSTRIAL COMPANY-Egypt-92174,"Cairo, Egypt",2010,Construction - Industrial Facilities and Infrastructure,101-500 employees
Sprints.ai,https://wuzzuf.net/jobs/careers/Sprints-ai-Egypt-44269,"Cairo, Egypt",2019,Automotive,1-10 employees
Melco-Mec Egypt for Elevators & Escalators - Mitsubishi,https://wuzzuf.net/jobs/careers/Melco-Mec-Egypt-for-Elevators---Escalators---Mitsubishi-Egypt-4423,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Shotmed,https://wuzzuf.net/jobs/careers/Shotmed-Egypt-94154,Egypt,Foundation date not provided,Industry not provided,Size not provided
Arabia for Information Technology,https://wuzzuf.net/jobs/careers/Arabia-for-Information-Technology-Egypt-10379,"Cairo, Egypt",2002,Computer Software,Size not provided
EFS,https://wuzzuf.net/jobs/careers/EFS-Egypt-28514,"Cairo, Egypt",2015,Marine Manufacturing & Services,Size not provided
Optasia,https://wuzzuf.net/jobs/careers/Channel-IT-Egypt-Egypt-6789,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
"Izam, inc.",https://wuzzuf.net/jobs/careers/Izam--inc--Egypt-39467,"Giza, Egypt",2009,Computer Software,Size not provided
Objects,https://wuzzuf.net/jobs/careers/Objects-Egypt-4204,"Alexandria, Egypt",2011,Information Technology Services,51-100 employees
Royal Investment,https://wuzzuf.net/jobs/careers/Royal-Investment-Egypt-72847,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
COREations,https://wuzzuf.net/jobs/careers/COREations-Egypt-52571,"Giza, Egypt",2010,Marketing and Advertising,11-50 employees
Sutherland,https://wuzzuf.net/jobs/careers/Sutherland-Global-Services-Egypt-1009,"Alexandria, Egypt",1986,Telecommunications,More than 1000 employees
EpsilonAI,https://wuzzuf.net/jobs/careers/EpsilonAI-Egypt-65111,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Universities of Canada in Egypt,https://wuzzuf.net/jobs/careers/Universities-of-Canada-in-Egypt-9537,"Cairo, Egypt",2018,Higher Education,101-500 employees
El Mohandess Print House,https://wuzzuf.net/jobs/careers/EL-Mohandess-Press-Egypt-4674,"Sharqia, Egypt",1984,Manufacturing,501-1000 employees
Impactyn,https://wuzzuf.net/jobs/careers/Impactyn-Egypt-92524,Egypt,Foundation date not provided,Industry not provided,Size not provided
Fintech solutions,https://wuzzuf.net/jobs/careers/--87220,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Elkenany Group,https://wuzzuf.net/jobs/careers/commodity-physical-trading-Egypt-64206,"Cairo, Egypt",2008,Marketing and Advertising,51-100 employees
FRIDAL,https://wuzzuf.net/jobs/careers/FRIDAL-Egypt-14596,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Arlation Media Services,https://wuzzuf.net/jobs/careers/Arlation-Media-Services-Egypt-25289,"Giza, Egypt",2016,Broadcasting and Film,51-100 employees
TIC,https://wuzzuf.net/jobs/careers/TIC-Egypt-78517,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Rednet It Services,https://wuzzuf.net/jobs/careers/Rednet-It-Services-Egypt-5365,"Cairo, Egypt",2010,Computer Software,11-50 employees
Moltaqa,https://wuzzuf.net/jobs/careers/Moltaqa-Egypt-92196,"Dakahlia, Egypt",2018,Marketing and Advertising,Size not provided
Konnekt Union,https://wuzzuf.net/jobs/careers/Konnekt-Union-Egypt-46555,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Jaffangroup,https://wuzzuf.net/jobs/careers/Jaffangroup-Egypt-39184,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
altameerarabian,https://wuzzuf.net/jobs/careers/altameerarabian-Egypt-78577,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Integrated Technology Group,https://wuzzuf.net/jobs/careers/Integrated-Technology-Group-Egypt-11822,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
iSON Xperiences Egypt,https://wuzzuf.net/jobs/careers/Wasla-Outsourcing-Egypt-4324,"Cairo, Egypt",2003,Outsourcing/Offshoring,More than 1000 employees
QARA,https://wuzzuf.net/jobs/careers/QARA-Egypt-73559,"Cairo, Egypt",2022,Information Technology Services,51-100 employees
Royal Sky,https://wuzzuf.net/jobs/careers/Royal-Sky-Egypt-91270,"Cairo, Egypt",2016,Consulting Services,51-100 employees
YOUXEl Technology,https://wuzzuf.net/jobs/careers/YOUXEl-Technology-Egypt-90861,Egypt,Foundation date not provided,Industry not provided,Size not provided
Order King,https://wuzzuf.net/jobs/careers/Order-King-Egypt-88776,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Finding From Egy ,https://wuzzuf.net/jobs/careers/Finding From Egy-Egypt-92695,"Alexandria, Egypt",2023,Marketing and Advertising,1-10 employees
TMA For Industrial Supplies,https://wuzzuf.net/jobs/careers/TMA-For-Industrial-Supplies-Egypt-38580,"Cairo, Egypt",2007,Engineering Services,11-50 employees
Ether Technology,https://wuzzuf.net/jobs/careers/-85181,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Egyptian Integration,https://wuzzuf.net/jobs/careers/Egyptian Integration-Egypt-94234,Egypt,Foundation date not provided,Industry not provided,Size not provided
ACML - Egypt,https://wuzzuf.net/jobs/careers/ACML - Egypt-Egypt-94462,Egypt,Foundation date not provided,Industry not provided,Size not provided
Seldar Egypt,https://wuzzuf.net/jobs/careers/Seldar-Egypt-Egypt-30370,"Cairo, Egypt",1990,Real Estate/Property Management,Size not provided
appcorp,https://wuzzuf.net/jobs/careers/AppCorp-Egypt-51594,"Cairo, Egypt",2015,Information Technology Services,11-50 employees
Parkville Pharmaceuticals,https://wuzzuf.net/jobs/careers/Parkville-Pharmaceuticals-Egypt-9968,"Cairo, Egypt",2006,Pharmaceuticals,101-500 employees
Millensys,https://wuzzuf.net/jobs/careers/Millensys-Egypt-17673,"Cairo, Egypt",2008,Computer Software,11-50 employees
Dolf,https://wuzzuf.net/jobs/careers/Dolf-Egypt-27171,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Lecon,https://wuzzuf.net/jobs/careers/Lecon-Egypt-87754,"Cairo, Egypt",2020,Architectural and Design Services,11-50 employees
RTR Software Solutions ,https://wuzzuf.net/jobs/careers/Nakheel-Egypt-85138,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Sky Distribution,https://wuzzuf.net/jobs/careers/Sky-Distribution-Egypt-20983,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
InstaShop,https://wuzzuf.net/jobs/careers/InstaShop-Egypt-33211,"Giza, Egypt",2015,Internet/E-commerce,501-1000 employees
Elfostat Company for import and export,https://wuzzuf.net/jobs/careers/Elfostat Company for import and export-Egypt-94436,Egypt,Foundation date not provided,Industry not provided,Size not provided
شركه طنطا موتورز,https://wuzzuf.net/jobs/careers/Ø´Ø±ÙƒÙ‡-Ø·Ù†Ø·Ø§-Ù…ÙˆØªÙˆØ±Ø²-Egypt-42744,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Max Muscle,https://wuzzuf.net/jobs/careers/Max-Muscle-Egypt-24434,"Cairo, Egypt",2009,"Health, Wellness and Fitness",101-500 employees
eGate Egypt,https://wuzzuf.net/jobs/careers/eGate Egypt-Egypt-94434,Egypt,Foundation date not provided,Industry not provided,Size not provided
Majorel Egypt,https://wuzzuf.net/jobs/careers/Majorel-Egypt-388,"Cairo, Egypt",2019,Outsourcing/Offshoring,More than 1000 employees
Fawry Microfinance ,https://wuzzuf.net/jobs/careers/Fawry-Microfinance-Egypt-41319,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
cCc callcenter and Digital Marketing,https://wuzzuf.net/jobs/careers/MENA-Connect-Egypt-90172,"Cairo, Egypt",2023,Marketing and Advertising,11-50 employees
CTO for startups,https://wuzzuf.net/jobs/careers/CTO for startups-United Arab Emirates-94384,United Arab Emirates,Foundation date not provided,Industry not provided,Size not provided
Economic Group ,https://wuzzuf.net/jobs/careers/Economic-Group-Egypt-92844,"Qalubia, Egypt",2017,Food and Beverage Production,Size not provided
Solutions,https://wuzzuf.net/jobs/careers/Solutions-Egypt-13670,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Intelcia,https://wuzzuf.net/jobs/careers/Intelcia-21580,"Cairo, Egypt",2021,Telecommunications,More than 1000 employees
Ascon Advanced Solutions & Consultant,https://wuzzuf.net/jobs/careers/Ascon-Advanced-Solutions--amp--Consultant-Egypt-26156,"Alexandria, Egypt",Foundation date not provided,Industry not provided,Size not provided
The Portal,https://wuzzuf.net/jobs/careers/The-Portal-Egypt-33057,"Cairo, Egypt",2010,Marketing and Advertising,11-50 employees
شيلتر تكنولوجي,https://wuzzuf.net/jobs/careers/Ø´ÙŠÙ„ØªØ±-ØªÙƒÙ†ÙˆÙ„ÙˆØ¬ÙŠ-Egypt-65194,"Cairo, Egypt",2021,Computer Software,11-50 employees
Sinmar Soft ,https://wuzzuf.net/jobs/careers/Sinmar Soft-Egypt-81792,"Cairo, Egypt",1995,Computer Software,11-50 employees
Peerless,https://wuzzuf.net/jobs/careers/Peerless-Egypt-32493,"Giza, Egypt",2007,Marketing and Advertising,11-50 employees
Quick Services,https://wuzzuf.net/jobs/careers/Quick Services-Egypt-94315,"Cairo, Egypt",2015,Computer Software,11-50 employees
Post Distribution Company ,https://wuzzuf.net/jobs/careers/Post Distribution Company-Egypt-87544,"Cairo, Egypt",2007,Logistics and Supply Chain,More than 1000 employees
Alumil,https://wuzzuf.net/jobs/careers/Alumil-Egypt-10721,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Balanced Education Company,https://wuzzuf.net/jobs/careers/New-Generation-international-Schools-Egypt-42986,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Delta American School ,https://wuzzuf.net/jobs/careers/Delta-American-School-Egypt-45249,"Dakahlia, Egypt",Foundation date not provided,Industry not provided,Size not provided
Shahbandr,https://wuzzuf.net/jobs/careers/Shahbandr-Egypt-94295,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Sweet Memory travel,https://wuzzuf.net/jobs/careers/Sweet Memory travel-Egypt-94292,"Cairo, Egypt",Foundation date not provided,Industry not provided,1-10 employees
Loc-Camp,https://wuzzuf.net/jobs/careers/Loc-Camp-Egypt-36590,"Giza, Egypt",2013,Translation and Localization,11-50 employees
BRISK Business Inc.,https://wuzzuf.net/jobs/careers/BRISK-Business-Inc--United-States-32763,Egypt,2013,Management Consulting,11-50 employees
ORGANI GROUP,https://wuzzuf.net/jobs/careers/Sinai-Sons-Company-Egypt-64842,Egypt,Foundation date not provided,Industry not provided,Size not provided
Mohandes Life Insurance ,https://wuzzuf.net/jobs/careers/Mohandes Life Insurance-Egypt-88036,"Giza, Egypt",1980,Insurance,101-500 employees
Seena - سينا,https://wuzzuf.net/jobs/careers/Seena - Ø³ÙŠÙ†Ø§-Egypt-94040,"Cairo, Egypt",Foundation date not provided,Industry not provided,11-50 employees
Egypt University of Informatics (EUI),https://wuzzuf.net/jobs/careers/Egypt-University-of-Informatics--EUI--Egypt-64045,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Rubyred Garment,https://wuzzuf.net/jobs/careers/Rubyred-Garment-Egypt-16370,"Alexandria, Egypt",2006,Manufacturing,More than 1000 employees
ZINAD IT,https://wuzzuf.net/jobs/careers/ZINAD-IT-Egypt-30253,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Bydotpy,https://wuzzuf.net/jobs/careers/Bydotpy-Egypt-81534,"Cairo, Egypt",2020,Computer Software,11-50 employees
MegaSoft,https://wuzzuf.net/jobs/careers/MegaSoft-Egypt-4107,"Cairo, Egypt",1998,Information Technology Services,51-100 employees
RDI,https://wuzzuf.net/jobs/careers/RDI-Egypt-5083,"Giza, Egypt",1993,Computer Software,51-100 employees
Crowe Egypt - Dr Khaled Abdelaziz Hegazy,https://wuzzuf.net/jobs/careers/Crowe-Egypt---Dr-Khaled-Abdelaziz-Hegazy-Egypt-55293,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Shebak,https://wuzzuf.net/jobs/careers/Shebak-Egypt-17288,"Cairo, Egypt",2016,Information Technology Services,1-10 employees
Swakli Digital Events,https://wuzzuf.net/jobs/careers/Swakli Digital Events-United Arab Emirates-94196,United Arab Emirates,Foundation date not provided,Industry not provided,Size not provided
Windrose Academy,https://wuzzuf.net/jobs/careers/WindRose-Acadamey-Egypt-19750,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
British Council,https://wuzzuf.net/jobs/careers/British-Council-Egypt-36413,"Cairo, Egypt",1938,Higher Education,501-1000 employees
Multi Level Group (MLG),https://wuzzuf.net/jobs/careers/Multi-Level-Group--MLG--United-Arab-Emirates-75942,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Hayati SRL,https://wuzzuf.net/jobs/careers/Hayati SRL-Romania-93617,Romania,Foundation date not provided,Industry not provided,Size not provided
EVA Cosmetics ,https://wuzzuf.net/jobs/careers/EVA-Cosmetics-Egypt-8243,"Giza, Egypt",1972,Cosmetics,501-1000 employees
Al Rabat,https://wuzzuf.net/jobs/careers/Al-Rabat-Egypt-4007,"Cairo, Egypt",1985,Construction - Industrial Facilities and Infrastructure,51-100 employees
Interact Technology Solutions,https://wuzzuf.net/jobs/careers/Interact-Technology-Solutions-Egypt-7185,"Cairo, Egypt",1996,Computer and Network Security,101-500 employees
DAK Steel - Construction,https://wuzzuf.net/jobs/careers/DAK Steel - Construction-Egypt-94131,"Giza, Egypt",2019,Construction - Industrial Facilities and Infrastructure,11-50 employees
Al Soug-Cashi,https://wuzzuf.net/jobs/careers/Al-Soug-Cashi-Egypt-86358,"Cairo, Egypt",2016,Computer Software,Size not provided
Egypt Kuwait Holding,https://wuzzuf.net/jobs/careers/Egypt-Kuwait-Holding-Egypt-40064,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Al-hakeema,https://wuzzuf.net/jobs/careers/Al-hakeema-Egypt-72184,"Cairo, Egypt",2017,Healthcare and Medical Services,51-100 employees
taknia systems,https://wuzzuf.net/jobs/careers/taknia systems-Egypt-94025,"Qalubia, Egypt",2008,Computer Software,Size not provided
Orange Studio,https://wuzzuf.net/jobs/careers/Orange-Studio-Egypt-13924,"Cairo, Egypt",2002,Computer Software,11-50 employees
Waseet.net,https://wuzzuf.net/jobs/careers/Alsahab Global-Egypt-86243,"Cairo, Egypt",2010,Marketing and Advertising,101-500 employees
GoodsMart Not Verified,https://wuzzuf.net/jobs/careers/GoodsMart-Egypt-94092,Egypt,Foundation date not provided,Industry not provided,Size not provided
Target Recruitment  & HR Solutions ,https://wuzzuf.net/jobs/careers/Target-Recruitment----HR-Solutions-Egypt-2029,"Alexandria, Egypt",2006,Human Resources,11-50 employees
Micro Engineering,https://wuzzuf.net/jobs/careers/MEEG-Egypt-16608,"Cairo, Egypt",2010,Computer Software,11-50 employees
Horizon Not Verified,https://wuzzuf.net/jobs/careers/Horizon-United Arab Emirates-94058,United Arab Emirates,Foundation date not provided,Industry not provided,Size not provided
Indegree,https://wuzzuf.net/jobs/careers/Indegree-Egypt-94064,Egypt,Foundation date not provided,Industry not provided,Size not provided
Hands of Hope Physical Therapy & Wellness,https://wuzzuf.net/jobs/careers/--76168,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Ulemt,https://wuzzuf.net/jobs/careers/Ulemt-Egypt-21777,"Cairo, Egypt",2011,Marketing and Advertising,501-1000 employees
Data Science,https://wuzzuf.net/jobs/careers/Data-Science-Egypt-91120,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Elabd Foods,https://wuzzuf.net/jobs/careers/Elabd-Foods-Egypt-7864,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
AL MASHARIQ ,https://wuzzuf.net/jobs/careers/ASK-CLIENT-Egypt-36981,"Cairo, Egypt",1978,Construction - Residential & Commercial/Office,More than 1000 employees
Elite Education Group,https://wuzzuf.net/jobs/careers/Elite-International-School-Egypt-39768,Egypt,Foundation date not provided,Industry not provided,Size not provided
Thaka International,https://wuzzuf.net/jobs/careers/Thaka-International-Saudi-Arabia-80979,"Cairo, Egypt",Foundation date not provided,Industry not provided,11-50 employees
Talaat Moustafa Group,https://wuzzuf.net/jobs/careers/Talaat-Moustafa-Group-Egypt-3106,Egypt,Foundation date not provided,Industry not provided,Size not provided
Bluebell Pharmaceuticals ,https://wuzzuf.net/jobs/careers/Bluebell-Pharmaceuticals-Egypt-29144,"Cairo, Egypt",2013,Cosmetics,Size not provided
Grifols Egypt for Plasma Derivatives,https://wuzzuf.net/jobs/careers/-80178,"Cairo, Egypt",Foundation date not provided,Industry not provided,501-1000 employees
StudentGator,https://wuzzuf.net/jobs/careers/StudentGator-Egypt-94003,"Giza, Egypt",2019,Information Technology Services,11-50 employees
Coral Technology,https://wuzzuf.net/jobs/careers/Coral-Technology-Egypt-39063,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
GPS,https://wuzzuf.net/jobs/careers/elmoasserbooks-Egypt-37460,"Cairo, Egypt",1948,Publishing and Printing,More than 1000 employees
Caduceus Lane,https://wuzzuf.net/jobs/careers/Caduceus-Lane-Egypt-6198,"Alexandria, Egypt",Foundation date not provided,Industry not provided,Size not provided
INTERNET SOLUTIONS,https://wuzzuf.net/jobs/careers/INTERNeT-SOLUTIONS-Egypt-22057,"Cairo, Egypt",2008,Internet/E-commerce,11-50 employees
TechJump,https://wuzzuf.net/jobs/careers/IT-Experts-Egypt-89172,"Alexandria, Egypt",2019,Computer Software,11-50 employees
VFS Global Egypt,https://wuzzuf.net/jobs/careers/-7863,"Cairo, Egypt",2001,Travel and Tourism,501-1000 employees
National Technology,https://wuzzuf.net/jobs/careers/National-Technology-Egypt-5626,"Cairo, Egypt",1997,Information Technology Services,101-500 employees
Selah ElTelmeez For Publishing & printing,https://wuzzuf.net/jobs/careers/Selah-ElTelmeez-For-Publishing---printing-Egypt-31447,Egypt,1960,Education,501-1000 employees
Webhelp,https://wuzzuf.net/jobs/careers/Webhelp-Egypt-57662,"Cairo, Egypt",2000,Outsourcing/Offshoring,501-1000 employees
Selftreat,https://wuzzuf.net/jobs/careers/Selftreat-Lithuania-93909,"Vilnius, Lithuania",Foundation date not provided,Industry not provided,Size not provided
Human Quality,https://wuzzuf.net/jobs/careers/Human-Quality-Egypt-32384,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Itechs,https://wuzzuf.net/jobs/careers/Itechs-Egypt-76484,"Cairo, Egypt",2014,Computer and Network Security,11-50 employees
Aman Holding,https://wuzzuf.net/jobs/careers/Emasa-Egypt-63357,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Staron Egypt,https://wuzzuf.net/jobs/careers/Staron-Egypt-Egypt-56323,"Cairo, Egypt",2008,Architectural and Design Services,Size not provided
IT Cores,https://wuzzuf.net/jobs/careers/IT-Cores-Egypt-34561,"Giza, Egypt",2014,Business Services - Other,11-50 employees
ZE LOGIC,https://wuzzuf.net/jobs/careers/ZE LOGIC-Egypt-80290,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
Brilliant Engineering,https://wuzzuf.net/jobs/careers/Brilliant-Engineering-Egypt-11787,"Cairo, Egypt",2011,Engineering Services,51-100 employees
UMX Studio,https://wuzzuf.net/jobs/careers/UMX Studio-Egypt-93885,"Cairo, Egypt",2014,Computer Games,51-100 employees
ESLSCA University,https://wuzzuf.net/jobs/careers/Eslsca-Egypt-7498,Egypt,Foundation date not provided,Industry not provided,Size not provided
Safa Soft,https://wuzzuf.net/jobs/careers/Safa-Tech--Egypt-16743,"Cairo, Egypt",2008,Marketing and Advertising,51-100 employees
Ebla,https://wuzzuf.net/jobs/careers/Ebla-Egypt-33363,Egypt,Foundation date not provided,Industry not provided,Size not provided
PyramidBITS,https://wuzzuf.net/jobs/careers/PyramidBITS-Egypt-35726,"Cairo, Egypt",2016,Business Services - Other,11-50 employees
webSTDY,https://wuzzuf.net/jobs/careers/webSTDY-Egypt-34266,"Giza, Egypt",2012,Computer Software,11-50 employees
4level1,https://wuzzuf.net/jobs/careers/4level1-Egypt-27066,"Cairo, Egypt",2016,Education,Size not provided
Ditech Egypt,https://wuzzuf.net/jobs/careers/Dimensions-Information-Technology-United-Arab-Emirates-55093,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Rowaad,https://wuzzuf.net/jobs/careers/Rowaad-Egypt-34790,"Cairo, Egypt",2006,Computer Software,51-100 employees
Advansys for Trading & Contracting,https://wuzzuf.net/jobs/careers/advansys-for-trading--amp--contracting-Egypt-38366,"Cairo, Egypt",2001,Engineering Services,101-500 employees
URANIUM,https://wuzzuf.net/jobs/careers/URANIUM-Egypt-9585,"Cairo, Egypt",2007,Information Technology Services,51-100 employees
Dreem Mashreq Foods ,https://wuzzuf.net/jobs/careers/DREEM---Mashreq-Group-Egypt-7358,"Alexandria, Egypt",Foundation date not provided,Industry not provided,Size not provided
Be Group,https://wuzzuf.net/jobs/careers/Be-4-E-Marketing-Egypt-8577,"Cairo, Egypt",2009,Marketing and Advertising,101-500 employees
FlexFilms Egypt,https://wuzzuf.net/jobs/careers/FlexFilms-Egypt-Egypt-29559,"Giza, Egypt",Foundation date not provided,Industry not provided,Size not provided
SSC Egypt,https://wuzzuf.net/jobs/careers/SSC-Egypt-Egypt-37268,"Cairo, Egypt",2018,Information Technology Services,101-500 employees
شركة توصيل الخليجية للتجارة,https://wuzzuf.net/jobs/careers/Ø´Ø±ÙƒØ© ØªÙˆØµÙŠÙ„ Ø§Ù„Ø®Ù„ÙŠØ¬ÙŠØ©-Saudi Arabia-93613,Saudi Arabia,Foundation date not provided,Industry not provided,Size not provided
Software House Solution ,https://wuzzuf.net/jobs/careers/Software House Solution-Egypt-89312,"Cairo, Egypt",1988,Computer Hardware,11-50 employees
Tamayouz Development and Training Company,https://wuzzuf.net/jobs/careers/Tamayouz-Development-and-Training-Company-Egypt-61272,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Cepack,https://wuzzuf.net/jobs/careers/HiPack-Group-Egypt-28773,"Sharqia, Egypt",1998,Packaging and Containers,More than 1000 employees
Anspire Agency,https://wuzzuf.net/jobs/careers/Anspire-Agency-Egypt-14761,"Cairo, Egypt",2012,Marketing and Advertising,11-50 employees
Dawi Clinics,https://wuzzuf.net/jobs/careers/Dawi-Clinics-Egypt-22444,"Cairo, Egypt",Foundation date not provided,Industry not provided,101-500 employees
Hanimex,https://wuzzuf.net/jobs/careers/Hanimex-Egypt-93684,Egypt,Foundation date not provided,Industry not provided,Size not provided
Digital Hub,https://wuzzuf.net/jobs/careers/Digital-Hub-Egypt-22501,"Cairo, Egypt",Foundation date not provided,Industry not provided,Size not provided
Elsewedy industries,https://wuzzuf.net/jobs/careers/Elsewedy-industries-Egypt-49892,"Cairo, Egypt",1938,Manufacturing,More than 1000 employees
Extend | The Ad Network,https://wuzzuf.net/jobs/careers/Extend---The-Ad-Network-Egypt-93623,Egypt,Foundation date not provided,Industry not provided,Size not provided
Netaq for E-Solutions,https://wuzzuf.net/jobs/careers/Netaq for E-Solutions-United Arab Emirates-93607,United Arab Emirates,Foundation date not provided,Industry not provided,Size not provided
HandleT,https://wuzzuf.net/jobs/careers/HandleT-Egypt-93450,"Cairo, Egypt",2018,Computer Software,1-10 employees
Firoz Group,https://wuzzuf.net/jobs/careers/Firoz-Group-Egypt-9464,"Cairo, Egypt",1990,Engineering Services,101-500 employees
Could not find company name,https://wuzzuf.net/jobs/careers/maxtron-Egypt-93611,Location not provided,Foundation date not provided,Industry not provided,Size not provided
